year;numcol;yieldpercol;totalprod;priceperlb;prodvalue
1998;230000;128;29440000;0.63;18547000
1999;255000;105;26775000;0.59;15797000
2000;3E+05;115;34500000;0.57;19665000
2001;280000;96;26880000;0.69;18547000
2002;320000;75;24000000;1.46;35040000
2003;340000;87;29580000;1.36;40229000
2004;390000;78;30420000;1.05;31941000
2005;370000;91;33670000;0.83;27946000
2006;350000;74;25900000;0.91;23569000
2007;420000;74;31080000;0.96;29837000
2008;4E+05;90;36000000;1.36;48960000
2009;450000;77;34650000;1.38;47817000
2010;510000;91;46410000;1.5;69615000
2011;460000;71;32660000;1.67;54542000
2012;480000;69;33120000;1.92;63590000